# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DPB2	YPR175W	YPR175W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
DPB4	YDR121W	YDR121W_mRNA	protein_coding	0	0	1	15	10	0	0	1	0	0	0	0	0	0	5
DPH2	YKL191W	YKL191W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DSF2	YBR007C	YBR007C_mRNA	protein_coding	0	2	1	41	22	0	0	1	0	0	0	0	0	2	19
DSS4	YPR017C	YPR017C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DST1	YGL043W	YGL043W_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0
DUG1	YFR044C	YFR044C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
DUR1,2	YBR208C	YBR208C_mRNA	protein_coding	0	3	0	7	0	0	0	0	0	0	0	0	0	3	7
DUS1	YML080W	YML080W_mRNA	protein_coding	0	0	0	7	6	0	0	0	0	0	0	0	0	0	1
DUT1	YBR252W	YBR252W_mRNA	protein_coding	0	0	0	18	18	0	0	0	0	0	0	0	0	0	0
EAF7	YNL136W	YNL136W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ECI1	YLR284C	YLR284C_mRNA	protein_coding	0	2	0	28	12	0	0	0	0	0	0	0	0	2	16
ECM10	YEL030W	YEL030W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ECM15	YBL001C	YBL001C_mRNA	protein_coding	0	0	0	28	9	0	0	0	0	0	0	0	0	0	19
ECM18	YDR125C	YDR125C_mRNA	protein_coding	0	5	0	20	11	0	0	0	0	0	0	0	0	5	9
ECM2	YBR065C	YBR065C_mRNA	protein_coding	0	0	1	11	10	0	0	1	0	0	0	0	0	0	1
ECM22	YLR228C	YLR228C_mRNA	protein_coding	0	4	0	5	2	0	0	0	0	0	0	0	0	4	3
ECM30	YLR436C	YLR436C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ECM32	YER176W	YER176W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ECM33	YBR078W	YBR078W_mRNA	protein_coding	0	1	0	5	3	0	1	0	0	0	0	0	0	1	1
ECM38	YLR299W	YLR299W_mRNA	protein_coding	0	2	1	14	3	0	0	1	0	0	0	0	0	2	11
ECM8	YBR076W	YBR076W_mRNA	protein_coding	0	0	0	5	3	0	0	0	0	0	0	0	0	0	2
EDC1	YGL222C	YGL222C_mRNA	protein_coding	0	0	0	9	5	0	0	0	0	0	0	0	0	0	4
EFM4	YIL064W	YIL064W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
EGO4	YNR034W-A	YNR034W-A_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1
EGT2	YNL327W	YNL327W_mRNA	protein_coding	0	1	1	6	2	0	0	1	0	0	0	0	0	1	4
EMC1	YCL045C	YCL045C_mRNA	protein_coding	0	2	5	33	21	0	0	5	0	0	0	0	0	2	12
EMC4	YGL231C	YGL231C_mRNA	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
EMG1	YLR186W	YLR186W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
EMI2	YDR516C	YDR516C_mRNA	protein_coding	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EMP46	YLR080W	YLR080W_mRNA	protein_coding	0	3	2	23	13	0	0	2	0	0	0	0	0	3	10
EMP70	YLR083C	YLR083C_mRNA	protein_coding	0	3	1	25	13	0	0	1	0	0	0	0	0	3	12
ENB1	YOL158C	YOL158C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
END3	YNL084C	YNL084C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENV10	YLR065C	YLR065C_mRNA	protein_coding	0	0	0	8	1	0	0	0	0	0	0	0	0	0	7
ENV11	YGR071C	YGR071C_mRNA	protein_coding	0	0	1	4	2	0	0	1	0	0	0	0	0	0	2
ERF2	YLR246W	YLR246W_mRNA	protein_coding	0	0	2	14	9	0	0	2	0	0	0	0	0	0	5
ERG13	YML126C	YML126C_mRNA	protein_coding	0	4	0	56	20	0	0	0	0	0	0	0	0	4	36
ERG2	YMR202W	YMR202W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ERG27	YLR100W	YLR100W_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ERG3	YLR056W	YLR056W_mRNA	protein_coding	0	0	0	7	1	0	0	0	0	0	0	0	0	0	6
ERG4	YGL012W	YGL012W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ERG7	YHR072W	YHR072W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ERJ5	YFR041C	YFR041C_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ERO1	YML130C	YML130C_mRNA	protein_coding	0	3	0	35	16	0	0	0	0	0	0	0	0	3	19
ERP4	YOR016C	YOR016C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ERT1	YBR239C	YBR239C_mRNA	protein_coding	0	2	1	10	0	0	0	1	0	0	0	0	0	2	10
ERV1	YGR029W	YGR029W_mRNA	protein_coding	0	0	1	6	6	0	0	1	0	0	0	0	0	0	0
ERV14	YGL054C	YGL054C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ERV15	YBR210W	YBR210W_mRNA	protein_coding	0	0	0	12	6	0	0	0	0	0	0	0	0	0	6
ERV41	YML067C	YML067C_mRNA	protein_coding	0	0	0	6	4	0	0	0	0	0	0	0	0	0	2
ESBP6	YNL125C	YNL125C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ESL1	YIL151C	YIL151C_mRNA	protein_coding	0	0	0	5	3	0	0	0	0	0	0	0	0	0	2
EST1	YLR233C	YLR233C_mRNA	protein_coding	0	3	1	7	3	0	0	1	0	0	0	0	0	3	4
EST2	YLR318W	YLR318W_mRNA	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	1	3
EST3	YIL009C-A	YIL009C-A_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ETS2-1	ETS2-1	ETS2-1_rRNA	rRNA	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
EUG1	YDR518W	YDR518W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
EXG1	YLR300W	YLR300W_mRNA	protein_coding	0	2	0	8	1	0	0	0	0	0	0	0	0	2	7
FAR10	YLR238W	YLR238W_mRNA	protein_coding	0	0	0	10	6	0	0	0	0	0	0	0	0	0	4
FAT1	YBR041W	YBR041W_mRNA	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0
FCF2	YLR051C	YLR051C_mRNA	protein_coding	0	1	0	4	0	0	0	0	0	0	0	0	0	1	4
FHN1	YGR131W	YGR131W_mRNA	protein_coding	0	1	0	2	1	0	0	0	0	0	0	0	0	1	1
FIG1	YBR040W	YBR040W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
FIG4	YNL325C	YNL325C_mRNA	protein_coding	0	0	1	3	3	0	0	1	0	0	0	0	0	0	0
FIS1	YIL065C	YIL065C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
FKH1	YIL131C	YIL131C_mRNA	protein_coding	0	0	0	8	4	0	0	0	0	0	0	0	0	0	4
FKH2	YNL068C	YNL068C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
FKS1	YLR342W	YLR342W_mRNA	protein_coding	0	6	1	23	13	0	0	1	0	0	0	0	0	6	10
FLC1	YPL221W	YPL221W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
FLO1	YAR050W	YAR050W_mRNA	protein_coding	0	2	0	3	0	0	0	0	0	0	0	0	0	2	3
FLO5	YHR211W	YHR211W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
FLO9	YAL063C	YAL063C_mRNA	protein_coding	0	2	0	1	1	0	0	0	0	0	0	0	0	2	0
FLR1	YBR008C	YBR008C_mRNA	protein_coding	0	2	3	35	18	0	0	3	0	0	0	0	0	2	17
FLX1	YIL134W	YIL134W_mRNA	protein_coding	0	0	0	4	2	0	0	0	0	0	0	0	0	0	2
FMP23	YBR047W	YBR047W_mRNA	protein_coding	0	1	0	6	2	0	0	0	0	0	0	0	0	1	4
FMP25	YLR077W	YLR077W_mRNA	protein_coding	0	3	2	25	17	0	0	2	0	0	0	0	0	3	8
FMP27	YLR454W	YLR454W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
FMP40	YPL222W	YPL222W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
FMP48	YGR052W	YGR052W_mRNA	protein_coding	0	4	0	16	6	0	0	0	0	0	0	0	0	4	10
FMP52	YER004W	YER004W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
FMT1	YBL013W	YBL013W_mRNA	protein_coding	0	2	1	26	12	0	0	1	0	0	0	0	0	2	14
FOB1	YDR110W	YDR110W_mRNA	protein_coding	0	2	0	6	5	0	0	0	0	0	0	0	0	2	1
FOL2	YGR267C	YGR267C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
FPR1	YNL135C	YNL135C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
FPR2	YDR519W	YDR519W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
FPR3	YML074C	YML074C_mRNA	protein_coding	0	1	0	13	7	0	0	0	0	0	0	0	0	1	6
FRE1	YLR214W	YLR214W_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
FRE2	YKL220C	YKL220C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
FRE4	YNR060W	YNR060W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
FRE7	YOL152W	YOL152W_mRNA	protein_coding	0	0	0	27	19	0	0	0	0	0	0	0	0	0	8
FRK1	YPL141C	YPL141C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
FRM2	YCL026C-A	YCL026C-A_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0
FRS1	YLR060W	YLR060W_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1
FSH3	YOR280C	YOR280C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
FTH1	YBR207W	YBR207W_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
FUR4	YBR021W	YBR021W_mRNA	protein_coding	0	0	1	15	4	0	0	1	0	0	0	0	0	0	11
FUS1	YCL027W	YCL027W_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0
FUS3	YBL016W	YBL016W_mRNA	protein_coding	0	3	0	31	15	0	0	0	0	0	0	0	0	3	16
FYV5	YCL058C	YCL058C_mRNA	protein_coding	0	0	1	45	20	0	0	1	0	0	0	0	0	0	25
FYV6	YNL133C	YNL133C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
FYV7	YLR068W	YLR068W_mRNA	protein_coding	0	0	0	21	14	0	0	0	0	0	0	0	0	0	7
FZF1	YGL254W	YGL254W_mRNA	protein_coding	0	0	1	5	0	0	0	1	0	0	0	0	0	0	5
GAA1	YLR088W	YLR088W_mRNA	protein_coding	0	1	0	21	11	0	0	0	0	0	0	0	0	1	10
GAL1	YBR020W	YBR020W_mRNA	protein_coding	0	1	3	16	7	0	0	3	0	0	0	0	0	1	9
GAL10	YBR019C	YBR019C_mRNA	protein_coding	0	1	2	20	11	0	0	2	0	0	0	0	0	1	9
GAL2	YLR081W	YLR081W_mRNA	protein_coding	0	4	0	24	8	0	0	0	0	0	0	0	0	4	16
GAL7	YBR018C	YBR018C_mRNA	protein_coding	0	1	1	21	11	0	0	1	0	0	0	0	0	1	10
GAL80	YML051W	YML051W_mRNA	protein_coding	0	3	0	21	15	0	0	0	0	0	0	0	0	3	6
GAS2	YLR343W	YLR343W_mRNA	protein_coding	0	4	3	12	7	0	0	3	0	0	0	0	0	4	5
GAS5	YOL030W	YOL030W_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0
GCD7	YLR291C	YLR291C_mRNA	protein_coding	0	3	0	28	18	0	0	0	0	0	0	0	0	3	10
GDB1	YPR184W	YPR184W_mRNA	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0
GDH2	YDL215C	YDL215C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GDH3	YAL062W	YAL062W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
GEA1	YJR031C	YJR031C_mRNA	protein_coding	1	6	1	13	5	1	0	1	0	0	0	0	0	6	8
GEA2	YEL022W	YEL022W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GEF1	YJR040W	YJR040W_mRNA	protein_coding	0	3	1	31	13	0	0	1	0	0	0	0	0	3	18
GEP5	YLR091W	YLR091W_mRNA	protein_coding	0	0	1	19	9	0	0	1	0	0	0	0	0	0	10
GEP7	YGL057C	YGL057C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GEX1	YCL073C	YCL073C_mRNA	protein_coding	0	3	1	48	44	0	0	1	0	0	0	0	0	3	4
GEX2	YKR106W	YKR106W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
GFA1	YKL104C	YKL104C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GID7	YCL039W	YCL039W_mRNA	protein_coding	0	0	1	13	0	0	0	1	0	0	0	0	0	0	13
GIM5	YML094W	YML094W_mRNA	protein_coding	0	0	0	23	14	0	1	0	0	0	0	0	0	0	8
GIP1	YBR045C	YBR045C_mRNA	protein_coding	0	1	0	10	6	0	0	0	0	0	0	0	0	1	4
GIP3	YPL137C	YPL137C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GIS1	YDR096W	YDR096W_mRNA	protein_coding	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0
GIS3	YLR094C	YLR094C_mRNA	protein_coding	0	1	1	20	10	0	0	1	0	0	0	0	0	1	10
GLK1	YCL040W	YCL040W_mRNA	protein_coding	0	5	0	13	1	0	0	0	0	0	0	0	0	5	12
GLO2	YDR272W	YDR272W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
GMC1	YDR506C	YDR506C_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0
GPI1	YGR216C	YGR216C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
GPI15	YNL038W	YNL038W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GPI18	YBR004C	YBR004C_mRNA	protein_coding	0	2	0	30	10	0	0	0	0	0	0	0	0	2	20
GPI8	YDR331W	YDR331W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
GPN3	YLR243W	YLR243W_mRNA	protein_coding	0	0	0	14	4	0	0	0	0	0	0	0	0	0	10
GPX2	YBR244W	YBR244W_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
GRE2	YOL151W	YOL151W_mRNA	protein_coding	1	7	1	21	12	0	0	1	0	0	0	1	0	7	9
GRH1	YDR517W	YDR517W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GRX2	YDR513W	YDR513W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
GRX3	YDR098C	YDR098C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
GRX4	YER174C	YER174C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GRX7	YBR014C	YBR014C_mRNA	protein_coding	0	1	0	17	1	0	0	0	0	0	0	0	0	1	16
GRX8	YLR364W	YLR364W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
GSC2	YGR032W	YGR032W_mRNA	protein_coding	0	2	0	9	3	0	0	0	0	0	0	0	0	2	6
GSF2	YML048W	YML048W_mRNA	protein_coding	0	0	2	18	3	0	0	2	0	0	0	0	0	0	15
GSP1	YLR293C	YLR293C_mRNA	protein_coding	0	1	0	23	12	0	0	0	0	0	0	0	0	1	11
GSY2	YLR258W	YLR258W_mRNA	protein_coding	0	5	0	19	10	0	0	0	0	0	0	0	0	5	9
GTO1	YGR154C	YGR154C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GTR1	YML121W	YML121W_mRNA	protein_coding	0	0	0	35	6	0	0	0	0	0	0	0	0	0	29
GTR2	YGR163W	YGR163W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
GTT1	YIR038C	YIR038C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
GUF1	YLR289W	YLR289W_mRNA	protein_coding	0	3	1	26	9	0	0	1	0	0	0	0	0	3	17
GUP2	YPL189W	YPL189W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
GUS1	YGL245W	YGL245W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
GUT2	YIL155C	YIL155C_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
GYL1	YMR192W	YMR192W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
HAM1	YJR069C	YJR069C_mRNA	protein_coding	0	0	0	21	9	0	0	0	0	0	0	0	0	0	12
HAP1	YLR256W	YLR256W_mRNA	protein_coding	0	14	4	10	0	0	0	4	0	0	0	0	0	14	10
HAP2	YGL237C	YGL237C_mRNA	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8
HAP3	YBL021C	YBL021C_mRNA	protein_coding	0	0	0	40	10	0	0	0	0	0	0	0	0	0	30
HAT2	YEL056W	YEL056W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HBN1	YCL026C-B	YCL026C-B_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
HDA3	YPR179C	YPR179C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HEK2	YBL032W	YBL032W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
HEM13	YDR044W	YDR044W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
HEM2	YGL040C	YGL040C_mRNA	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
HFM1	YGL251C	YGL251C_mRNA	protein_coding	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1
HHF1	YBR009C	YBR009C_mRNA	protein_coding	0	0	0	30	17	0	0	0	0	0	0	0	0	0	13
HHT1	YBR010W	YBR010W_mRNA	protein_coding	0	0	0	26	8	0	0	0	0	0	0	0	0	0	18
HIR1	YBL008W	YBL008W_mRNA	protein_coding	0	5	2	19	13	0	0	2	0	0	0	0	0	5	6
HIS5	YIL116W	YIL116W_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
HIT1	YJR055W	YJR055W_mRNA	protein_coding	0	1	1	28	20	0	0	1	0	0	0	0	0	1	8
HMG1	YML075C	YML075C_mRNA	protein_coding	0	4	0	10	9	0	0	0	0	0	0	0	0	4	1
HMG2	YLR450W	YLR450W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HMLALPHA1	YCL066W	YCL066W_mRNA	protein_coding	0	0	0	27	23	0	0	0	0	0	0	0	0	0	4
HMLALPHA2	YCL067C	YCL067C_mRNA	protein_coding	0	0	0	24	5	0	0	0	0	0	0	0	0	0	19
HOC1	YJR075W	YJR075W_mRNA	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12
HOG1	YLR113W	YLR113W_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0
HOP2	YGL033W	YGL033W_mRNA	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6
HPA2	YPR193C	YPR193C_mRNA	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0
HPC2	YBR215W	YBR215W_mRNA	protein_coding	0	1	0	4	1	0	0	0	0	0	0	0	0	1	3
HPF1	YOL155C	YOL155C_mRNA	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	0	3
HRD3	YLR207W	YLR207W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HRI1	YLR301W	YLR301W_mRNA	protein_coding	0	0	0	7	1	0	0	0	0	0	0	0	0	0	6
HRT3	YLR097C	YLR097C_mRNA	protein_coding	0	0	0	12	9	0	0	0	0	0	0	0	0	0	3
HSL1	YKL101W	YKL101W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
HSP26	YBR072W	YBR072W_mRNA	protein_coding	0	0	1	9	3	0	0	1	0	0	0	0	0	0	6
HSP60	YLR259C	YLR259C_mRNA	protein_coding	0	3	0	25	12	0	0	0	0	0	0	0	0	3	13
HSX1	tR(CCU)J	tR(CCU)J_tRNA	protein_coding	0	0	0	28	20	0	0	0	0	0	0	0	0	0	8
HTA2	YBL003C	YBL003C_mRNA	protein_coding	0	1	0	26	5	0	0	0	0	0	0	0	0	1	21
HTB2	YBL002W	YBL002W_mRNA	protein_coding	0	1	0	25	17	0	0	0	0	0	0	0	0	1	8
HUA1	YGR268C	YGR268C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HUA2	YOR284W	YOR284W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HUB1	YNR032C-A	YNR032C-A_mRNA	protein_coding	0	0	0	5	4	0	0	0	0	0	0	0	0	0	1
HUL4	YJR036C	YJR036C_mRNA	protein_coding	0	8	1	27	11	0	0	1	0	0	0	0	0	8	16
HUR1	YGL168W	YGL168W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
HXK2	YGL253W	YGL253W_mRNA	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	0	6
HXT11	YOL156W	YOL156W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
HXT8	YJL214W	YJL214W_mRNA	protein_coding	0	1	0	6	4	0	0	0	0	0	0	0	0	1	2
HXT9	YJL219W	YJL219W_mRNA	protein_coding	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0
HYR1	YIR037W	YIR037W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ICS3	YJL077C	YJL077C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ICT1	YLR099C	YLR099C_mRNA	protein_coding	0	1	0	3	3	0	0	0	0	0	0	0	0	1	0
IES3	YLR052W	YLR052W_mRNA	protein_coding	0	0	0	8	7	0	0	0	0	0	0	0	0	0	1
IFH1	YLR223C	YLR223C_mRNA	protein_coding	0	2	0	13	5	0	0	0	0	0	0	0	0	2	8
ILV5	YLR355C	YLR355C_mRNA	protein_coding	0	0	0	4	2	0	0	0	0	0	0	0	0	0	2
IMA2	YOL157C	YOL157C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
IMA4	YJL221C	YJL221C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
IMA5	YJL216C	YJL216C_mRNA	protein_coding	0	0	0	7	1	0	0	0	0	0	0	0	0	0	6
IMD1	YAR073W	YAR073W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
IMD4	YML056C	YML056C_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
IMH1	YLR309C	YLR309C_mRNA	protein_coding	0	6	0	16	15	0	0	0	0	0	0	0	0	6	1
IMO32	YGR031W	YGR031W_mRNA	protein_coding	0	0	1	7	4	0	0	1	0	0	0	0	0	0	3
IMP3	YHR148W	YHR148W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
IMT3	tM(CAU)J3	tM(CAU)J3_tRNA	protein_coding	0	0	0	29	10	0	0	0	0	0	0	0	0	0	19
IMT4	tM(CAU)E	tM(CAU)E_tRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
INO2	YDR123C	YDR123C_mRNA	protein_coding	0	3	0	27	10	0	0	0	0	0	0	0	0	3	17
INP1	YMR204C	YMR204C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
INP52	YNL106C	YNL106C_mRNA	protein_coding	0	5	1	18	12	0	0	1	0	0	0	0	0	5	6
IOC2	YLR095C	YLR095C_mRNA	protein_coding	0	4	1	10	4	0	0	1	0	0	0	0	0	4	6
IPP1	YBR011C	YBR011C_mRNA	protein_coding	0	2	1	20	15	0	0	1	0	0	0	0	0	2	5
IRC2	YDR112W	YDR112W_mRNA	protein_coding	0	0	0	9	5	0	0	0	0	0	0	0	0	0	4
IRC20	YLR247C	YLR247C_mRNA	protein_coding	0	3	5	17	3	0	0	5	0	0	0	0	0	3	14
IRC23	YOR044W	YOR044W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
IRC24	YIR036C	YIR036C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
IRC25	YLR021W	YLR021W_mRNA	protein_coding	0	0	1	5	4	0	0	1	0	0	0	0	0	0	1
IRC3	YDR332W	YDR332W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
IRC5	YFR038W	YFR038W_mRNA	protein_coding	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1
IRC6	YFR043C	YFR043C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
IST2	YBR086C	YBR086C_mRNA	protein_coding	0	1	2	9	6	0	0	2	0	0	0	0	0	1	3
ISU1	YPL135W	YPL135W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
ISW1	YBR245C	YBR245C_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
ISY1	YJR050W	YJR050W_mRNA	protein_coding	0	0	0	14	8	0	0	0	0	0	0	0	0	0	6
ITS1-1	ITS1-1	ITS1-1_rRNA	rRNA	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
